Location	Mood	Type	Determiner	Preposition	Size	Ambience	Interactions	Props
abandoned building	NEG	Building	an	in		forlorn, musty, desolate, crumbling, grim, drafty, damp, dusty, comfortless, unwelcoming, depressing, faded, decrepit, lifeless, dilapidated, spooky, weathered	arguing with, squabbling with, looking for old cans with, huddling with, stripping copper wire with, self-medicating with	brick, piece of rubble, rusty iron bar, floor board, exposed wiring
abandoned factory	NEG	Building	an	in	large	forlorn, musty, desolate, crumbling, grim, drafty, damp, dusty, comfortless, unwelcoming, spacious, dilapidated, ramshackle, spooky	arguing with, squabbling with, looking for old cans with, huddling with	brick, piece of rubble, rusty iron bar, iron lever, rusty spanner
abandoned warehouse	NEG	Building	an	in	large	forlorn, musty, desolate, crumbling, grim, drafty, damp, dusty, comfortless, unwelcoming, spacious, depressing, dilapidated	arguing with, squabbling with, looking for old cans with, huddling with	wooden joist, rusty crowbar, floor board
academic conference	NEUT	Event	an	in	large	hectic, busy, bustling, lively, stimulating, boring, pretentious, spirited, volatile	arguing with, squabbling with, bragging to, philosophizing with, gossiping with, nattering with, sitting next to, exchanging notes with, 	free pen, badge pin, conference proceedings, microphone stand
airlock	NEG	Room	an	in	small	cramped, claustrophobic	crammed with, waiting with	umbilical line, oxygen tank, gas gun, wrench, spanner
amusement arcade	POS	Floor	an	in	large	dark, noisy, bustling, flashy, humming	playing next too, skulking with, cadging coins with	coin roll, broken joystick, pool cue
animal-testing laboratory	NEG	Room	an	in	large	cold, clinical, cruel, sterile, unsanitized, noisy, pitiless	sweeping up poop with, rattling cages with, sitting next to, exchanging notes with, 	syringe, cattle prod, fire extinguisher, bunsen burner
animation studio	POS	Building	an	in	large	colourful, busy, cramped, bright	sitting next to, sitting across from, working next to, drawing next to,	digital stylus, T-square
antique market	POS	Outside_Area	an	in	large	dusty, cramped, cluttered, antiquated, quaint, stuffy, shady	walking next to, haggling with, bargaining with, carrying shopping for	carpet duster, antique letter opener, copper bed pan, back scratcher
apartment building	NEUT	Building	an	in	large	threadbare, soulless, drafty, musty, stuffy	walking up stairs with, exchanging pleasantries with	fire extinguisher, 
apothecary shop	NEUT	Building	an	in		eccentric, antiquated, scented, drab, quaint	filling a prescription with, comparing medications with, comparing conditions with	pestle, syringe, 
archeological site	NEG	Outside_Area	an	in	large	dusty, dreary, rocky, barren, lifeless, muddy, dismal, dirty, lifeless	shoveling dirt with, taking measurements with, comparing finds with	shovel, pick, 
art gallery	POS	Floor	an	in	large	pretentious, snooty, fashionable, chic, sophisticated, stylish, elegant, charming, minimalist, upscale, sleek	looking at pictures with, making smalltalk with, discussing art with, talking art with, rubbing shoulders with, sharing in-jokes with	fire extinguisher, picture frame, champagne bottle
art studio	POS	Room	an	in		cluttered, cramped, untidy, messy	drawing next to, sketching, posing for	paint knife, paint tube, picture frame, T-square
