Daniel Day-Lewis	pope,pawn,gang_lord,oligarch,tyrant,despot,evil_genius	insurer,custodian,bailiff,general,appellant,functionary,chemist
Tina Fey	Catholic,liar,con_man,visitor,queen,victim,aristocrat	woman,portrayer,interviewee,tour_guide,screenwriter,broadcaster,guide
Abraham Lincoln	workmate,sibling,ex,renter,traveler,schoolmate,husband	star,groom,intern,jester,host,pupil,tour_guide
John Wilkes Booth	pope,theologian,consul,herald,follower,imitator,missionary	Catholic,star,lessee,predator,wimp,snake,dispatcher
Adam Sandler	patient,knight,believer,supporter,manager,employer,bishop	vet,manipulator,censor,representative,capitalist,senior,vocalist
Adam Smith	ombudsman,commoner,importer,peasant,subordinate,hotelier,native	Catholic,explorer,predator,wimp,snake,dove,evil_genius
Adam West	Catholic,liar,con_man,visitor,queen,victim,aristocrat	chief,client,chronicler,mother,professional,model,sinner
The Joker		
Al Bundy	candidate,con_man,visitor,colonist,demonstrator,judge,supporter	author,client,pupil,capitalist,mother,professional,model
Al Capone	pontiff,con_man,sage,commoner,savior,aristocrat,guest	crony,bank_robber,villain,handler,lawyer,cutthroat,thug
Eliot Ness	entertainer,mercenary,bodyguard,bouncer	
Al Gore	Catholic,infant,wizard,queen,housewife,tyrant,caregiver	wife,tour_guide,client,president,model,spouse,dove
Al Pacino	gatekeeper,coach,liar,aristocrat,manager,child,underwriter	confessor,masseur,demon,actress,jockey,novelist,vocalist
Alan Greenspan	devotee,criminal,wizard,babysitter,traitor,teenager,golfer	cleric,constable,litigator,mobster,incumbent,senior,substitute
Alan Sugar	liberal,patron,researcher,radical,advocate,double_agent,victim	content_provider,travel_agent,client,professional,model,peasant,role_model
Albert Einstein	nursemaid,confidante,spokesman,swain,tormentor,gaoler,dominatrix	star,brown_nose,atheist,saint,biographer,novelist,eyewitness
Alec Baldwin	vendor,candidate,doctor,employer,manager,teenager,supporter	convert,tour_guide,translator,speaker,adult,oracle,boyfriend
Alfred Hitchcock	candidate,doctor,sage,freedom_fighter,victim,deity,supporter	author,travel_agent,client,representative,mother,professional,model
Allan Quatermain	fashion_designer,con_man,visitor,queen,freedom_fighter,demonstrator,aristocrat	fighter,emissary,doctor,wife,chief,assassin,prostitute
Andrew Lloyd Webber	king,cleric,groom,infant,pastor,nun,lord	cop,demon,translator,pupil,renter,oracle,prostitute
Andy Warhol	gatekeeper,coach,devotee,aristocrat,manager,baby,golfer	nominee,bride,settler,gentleman,actress,colonizer,captive
Angelina Jolie	savior,monkey,predator,peasant,tyrant,fiend,groupie	goddess,fanatic,atheist,boxer,deity,troublemaker,hoodlum
Ann Coulter	gatekeeper,coach,devotee,doctor,aristocrat,underwriter,golfer	crony,medium,chess_player,atheist,banker,fashion_model,minister
Anna Karenina	infidel,emissary,lobbyist,valet,nun,proxy,friend	gang_member,groom,tour_guide,serf,columnist,pupil,guide
Emma Bovary	medium,godfather,beauty,character,woman,reader,baby	girl
Anthony Bourdain	advertiser,coach,con_man,visitor,actress,manager,terrorist	realtor,tour_guide,bailiff,chief,minister,capitalist,senior
Anton Chekov	mariner,hirer	
Antonio Vivaldi	terrorist,patient,outsider,thief,demonstrator,buyer,witness	fighter,target,waiter,regulator,client,star,hotelier
Archie Bunker	convert,civilian,hostage,colonist,slaveholder,convict,subordinate	customer,boy,target,groom,tour_guide,pupil,guide
Ariel Sharon	gatekeeper,vet,devotee,vassal,preacher,minion,golfer	nominee,candidate,imperialist,extremist,source,lover,model
Aristotle	performer,demon,thief,subscriber,speaker,baby,witness	artist,source,architect,mother,model,husband,anthropologist
Arnold Schwarzenegger	composer,knight,historian,villain,sponsor,tyrant,serial_killer	juvenile,respondent,drug_dealer,pastor,junior,sibling,dealer
Arthur Conan Doyle	duke,mutineer,knight,suitor,bull,lord,assassin	cartographer,manipulator,censor,interviewee,bride,sinner,satirist
Atticus Finch	detective,fashion_designer,coach,con_man,doctor,visitor,pastor	broadcaster,pupil,capitalist,mother,professional,senior,representative
Audrey Hepburn	bully,adolescent,actress,school_kid,master,fashion_model,footballer	ghost,convert,target,tour_guide,adult,oracle,guide
Aung San Suu Kyi	gatekeeper,coach,devotee,aristocrat,manager,baby,golfer	fighter,wife,tour_guide,mercenary,pupil,oracle,minister
Austin Powers	doctor,visitor,homeowner,underwriter,interpreter,supporter,operative	chief,client,pupil,capitalist,professional,model,rescuer
Ayn Rand	ambassador,theorist,spokesperson,advocate,sage,source,judge	terrorist,bully,atheist,translator,client,capitalist,mother
Babe Ruth	knave,luminary,bride,saint,deity,guide,witness	drug_dealer,pupil,mother,oracle,professional,model,representative
Barack Obama	ghost,king,con_man,hit_man,advertiser,mother,friend	lecturer,singer,assistant,writer,tour_guide,travel_agent,evaluator
Barry White	dad,singer,woman,father,source,fan	
Bart Simpson	hit_man,woman,con_man,father,celebrity,hunter,husband	manipulator,censor,detainee,professional,senior,warlord,vocalist
Basil Fawlty	Catholic,emissary,doctor,lobbyist,valet,sibling,proxy	client,pupil,mother,professional,senior,rescuer,representative
Bear Grylls		
Ben Affleck	fashion_designer,Catholic,liar,con_man,visitor,queen,mom	ghost,target,tour_guide,speaker,adult,oracle,guide
Benedict Arnold	paymaster,con_man,mediator,content_provider,parasite,staffer,tyrant	enemy,monster,heretic,socialist,quisling,mercenary,secularist
Benjamin Franklin	duke,hunter,predator,lion,criminal,groupie,pirate	columnist,photographer,dissident,broadcaster,novelist,sinner,satirist
Benny Hill	king,musician,star,wife,god,queen,jester	judge,player,girl,student
Bertie Wooster	con_man,candidate,visitor,leader,manager,photographer,supporter	wife,applicant,client,capitalist,mother,professional,senior
Bill Clinton	devotee,infant,waiter,dove,nanny,savior,groupie	advertiser,target,groom,intern,columnist,pupil,evil_genius
Bill Cosby	gang_lord,crime_boss,settler,wizard,nanny,lord,groupie	liberal,wife,tour_guide,actor,pupil,spouse,minister
Bill Gates	pope,radical,satrap,challenger,tyrant,despot,deity	storyteller,butcher,wholesaler,punter,borrower,girlfriend,inventor
Bill Murray	infant,dove,settler,believer,savior,lord,groupie	predator,pupil,oracle,nominator,apprentice,lady,representative
Billy Bob Thornton	hit_man,coach,slave_owner,father,manager,baby,celebrity	respondent,diner,groom,sibling,abolitionist,spouse,rescuer
Billy Crystal	gatekeeper,coach,aristocrat,manager,child,baby,golfer	jockey,stylist,demon,screenwriter,mariner,vocalist,apprentice
